Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you can’t stay focused long enough to finish important tasks?,"

Section 2: Cross-Over Questions

Q4. How often do you feel tired or drained even on days when you haven’t worked very hard?",Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. What’s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,"

Q15. Do you feel confident you could clearly name your top 3 personal values?","Q16a. Please try listing up to 3 values that are most important to you. Don't worry if you’re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 – optional),Q16c. Please list a third personal value (Value 3 – optional)
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Using apps/tools to block distractions, Taking breaks / exercise",Be less easily distracted.,frustrated,35 - 44,Male,Employed full-time,England,Somewhat,"Loyalty, honesty, empathy",,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps",Sometimes,Rarely,Rarely,Somewhat aligned,Neutral,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Not have a smartphone,frustrated,45 - 54,Male,Self-employed,UK,Somewhat,Thoughtful,caring,imaginative
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Often,Often,Often,Not aligned at all,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Improving my focus greatly ,Frustrated ,25 - 34,Male,Employed full-time,United Kingdom,Somewhat,Respect,Courage ,Kindness 
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Colleagues, family, or friends, Internal thoughts/worries",Often,Almost always,Almost always,Neutral,I feel much more focused and energized,None of the above,Have more relaxing time,Frustrated,45 - 54,Female,Self-employed,Scotland,Yes definitely,"Family, holiday, house",,
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Internal thoughts/worries",Never,Often,Rarely,Neutral,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",Less worries about life ,Disappointed ,25 - 34,Male,Employed full-time,Australia ,Not really,Money,Justice ,Success
"Yes, I consent",More than 30 minutes,"Social media scrolling, Multitasking / switching tasks, Background noise / environment",Sometimes,Often,Often,Somewhat aligned,Neutral,None of the above,stop social media ,annoyed ,25 - 34,Female,Employed full-time,uk ,Somewhat,caring,kind,patient
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment",Rarely,Rarely,Rarely,Very strongly aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Remove my constant tinnitus,Frustration ,55 +,Male,Employed full-time,United Kingdom,Yes definitely,"Honesty, Tradition, Flexibility",Caring,Sharing and Helping
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Rarely,Rarely,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",The ability to worry less about small problems in my life,frustrated,55 +,Female,Other,East of England,Somewhat,respect honesty compassion,integrity,empathy
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Often,Often,Often,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",No unnecessary notifications during the day,Annoyed,25 - 34,Male,Employed full-time,Northern ireland,Somewhat,Family,Smiling,Friendships
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Often,Almost always,Often,Neutral,I feel somewhat more focused,Taking breaks / exercise,Reduce number of meetings and interruptions from colleagues,Frustrated,55 +,Male,Employed full-time,USA,Somewhat,Health,Innovation,Explore new ideas
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Internal thoughts/worries",Sometimes,Never,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise","
keeping my phones away entirely",dejected,35 - 44,Male,Employed full-time,United Kingdom,Yes definitely,Honesty,Respect,Diligence
"Yes, I consent",11–20 minutes,"Social media scrolling, Multitasking / switching tasks, Background noise / environment",Often,Often,Sometimes,Somewhat misaligned,No noticeable difference,"Taking breaks / exercise, Aligning tasks with personal priorities or values",I would swap my smartphone for a simple phone to avoid distractions.,Lost,25 - 34,Male,Employed part-time,England,Somewhat,Stewardship,Creativity,Education
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Background noise / environment, Internal thoughts/worries",Rarely,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Not living on a busy A road as the noise from traffic is the biggest distraction,frustrated,55 +,Female,Self-employed,east of england,Somewhat,Being kind to everyone.,Being caring and helping others,Being honest and true to myself
"Yes, I consent",21–30 minutes,"Email or messaging apps, Multitasking / switching tasks, Background noise / environment",Rarely,Often,Sometimes,Neutral,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces",To turn off my phone ,Frustrated ,35 - 44,Female,Employed part-time,United Kingdom,Somewhat,"Kindness, loyalty , ethical ",,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",The temptation to multi task.,annoyed,55 +,Female,Employed part-time,UK/North West,Yes definitely,kindness,honesty,resiliance
"Yes, I consent",21–30 minutes,"Background noise / environment, PC notifications",Sometimes,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",I'd like to be able to stop my mind wandering back to recent conversations on social media,distracted,45 - 54,Female,Self-employed,UK,"No, not at all",never treating people merely as a means to an end,make time for people,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Aligning tasks with personal priorities or values",I would switch my phone off for lengthy periods during the day.,Frustrated,45 - 54,Female,Employed part-time,UK/North West,Somewhat,Determination,Drive,Curiosity
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Scheduling focus time / using timers, Taking breaks / exercise","I would put my phone in a different room whilst im trying to do something for a period of time, and set myself a small amount of time that i am allowed to use it.",frustrated,25 - 34,Male,Employed full-time,United Kingdom,Not really,Friendship,authenticity,compassion 
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Internal thoughts/worries",Rarely,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",make work less of a chore or something that has to be done to something i actually want to do,resigned,45 - 54,Male,Self-employed,UK,Somewhat,"stable , planned , capable",calm,organised
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,Aligning tasks with personal priorities or values,Remove smartphone ,Frustrated ,25 - 34,Male,Employed full-time,United Kingdom ,Somewhat,Honesty,Discipline ,Kindness 
"Yes, I consent",11–20 minutes,Internal thoughts/worries,Sometimes,Rarely,Sometimes,Very strongly aligned,No noticeable difference,"Taking breaks / exercise, Aligning tasks with personal priorities or values",I can't think of anything. I simply accept that I find it hard to concentrate sometimes.,acceptance,55 +,Female,Employed part-time,UK,Somewhat,Learning,Curiosity,Open-mindedness
"Yes, I consent",21–30 minutes,"Smartphone notifications, Multitasking / switching tasks, Background noise / environment",Often,Often,Often,Neutral,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","Id have less tasks to do, with the remaining tasks ones that i deeply care about",Frustrated ,25 - 34,Male,Employed full-time,"England, UK",Yes definitely,Family,Self worth,Inner happiness 
"Yes, I consent",5–10 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, My dogs",Sometimes,Sometimes,Sometimes,Somewhat aligned,Neutral,"Taking breaks / exercise, Aligning tasks with personal priorities or values",Can focus more easily if on my own. Silence definitely helps.,Irritated,55 +,Female,Other,UK.,Not really,Completing a task,,
"Yes, I consent",5–10 minutes,"Email or messaging apps, Colleagues, family, or friends, Internal thoughts/worries",Often,Often,Often,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",I need to do meditation because that helps me. I have been diagnosed with ADHD and have terrible problems with focus,Frustration,55 +,Male,Other,Devon England,Yes definitely,Calmness,clarity ,compassion
"Yes, I consent",More than 30 minutes,"Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Often,Sometimes,Very strongly aligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Stop worrying ,Frustrated ,55 +,Male,Employed part-time,UK,Somewhat,Honesty,Kindness ,Family 
"Yes, I consent",More than 30 minutes,"Background noise / environment, Colleagues, family, or friends",Rarely,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Aligning tasks with personal priorities or values",My family  demands,Frustrated,55 +,Female,Other,Uk/ East midlands,Yes definitely,Loyalty,Honesty,Kindness
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Background noise / environment",Rarely,Often,Rarely,Very strongly aligned,I feel somewhat more focused,"Taking breaks / exercise, Aligning tasks with personal priorities or values",I would like for it to be harder to distract me when I am focused. ,Distracted,25 - 34,Male,Employed full-time,United Kingdom,Somewhat,"Honesty, Independence, Justice",,
"Yes, I consent",5–10 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Rarely,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Shut out intrusive thoughts.,Disappointed,45 - 54,Female,Employed full-time,United Kingdom,Somewhat,"Integrity, honesty, consideration for others",Open minded,Self-awareness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Somewhat aligned,No noticeable difference,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Train my brain!,Frustrated,55 +,Female,Employed part-time,United Kingdom/England,Yes definitely,Compassion,Loyalty,Respect
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Sometimes,Almost always,Rarely,Not aligned at all,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Using apps/tools to block distractions, Taking breaks / exercise, Aligning tasks with personal priorities or values",I would insist on complete solitude and silence.,Irritated.,55 +,Male,Employed full-time,UK,Yes definitely,"Ethics, Morality, Accountability",Honesty,Integrity
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Multitasking / switching tasks",Rarely,Rarely,Sometimes,Somewhat aligned,Neutral,"Working in quiet spaces, Taking breaks / exercise",allocate specific time to focus on important tasks,indifferent,35 - 44,Male,Employed part-time,Australia,Not really,Loyalty,Humor,Integrity
"Yes, I consent",More than 30 minutes,n/a I can stay focused if I want to,Never,Never,Never,Very strongly aligned,I feel much more focused and energized,None of the above,no improvement needed,n/a,45 - 54,Female,Self-employed,USA,Yes definitely,"nonhumans, veganism, environment",,
"Yes, I consent",21–30 minutes,"Smartphone notifications, Internal thoughts/worries",Sometimes,Almost always,Often,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",i wish that my concentration could be better,frustrated,35 - 44,Female,Employed full-time,uk,Somewhat,honesty,loyalty,respect
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Sometimes,Almost always,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",Maybe turn my phone off or put it away completely,procrastinating,25 - 34,Female,Employed full-time,UK,Somewhat,Fairness,Kindness,Honesty
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps",Sometimes,Never,Rarely,Very strongly aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise",I was able to work on just one task and not a numerous amounts ,"Accomplished,  and postive",45 - 54,Female,Employed full-time,United Kingdom. East Midlands ,Yes definitely,"Empathy , ",Trust,Loyalty
"Yes, I consent",5–10 minutes,"Smartphone notifications, Social media scrolling, Internal thoughts/worries",Often,Almost always,Often,Neutral,I feel somewhat more focused,None of the above,"Feeling less pressured, so I approach things in little bits rather than one big very challenging 'chunk' would help me almost and focus better I think.",Overwhelmed,55 +,Female,Employed part-time,Australia,Somewhat,Gentle effort,Kindness,Decisiveness and determination
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Sometimes,Sometimes,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Using apps/tools to block distractions, Taking breaks / exercise",I wish I felt less tired all the time and this would help me focus more.,Fustrated,35 - 44,Female,Employed full-time,UK,Somewhat,Security and safety,Happiness,Kindness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Often,Neutral,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",To not have brain fog,Irritated,45 - 54,Female,Unemployed,United Kingdom ,Somewhat,Honesty,Integrity,Selflessness
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Menopausal brain fog.,Frustrated ,45 - 54,Female,Employed full-time,UK,Yes definitely,Family,integrity,growth
"Yes, I consent",More than 30 minutes,Multitasking / switching tasks,Rarely,Rarely,Rarely,Somewhat aligned,No noticeable difference,Working in quiet spaces,Stop switching between tasks,tired,55 +,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Helpfullness,Ethical
"Yes, I consent",11–20 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Taking breaks / exercise, Aligning tasks with personal priorities or values",Reduce multitasking or even thinking about next tasks,Destructed,35 - 44,Female,Employed part-time,UK,Somewhat,"Integrity, Kindness and Respect",,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Often,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",more willpower - stop being sidetracked ,guilty,35 - 44,Female,Employed full-time,england - east midlands ,Not really,loyalty,ambition,love
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Taking breaks / exercise, Aligning tasks with personal priorities or values",I would remove the need for a smartphone from my life. ,Frustrated ,25 - 34,Male,Employed full-time,"London, United Kingdom ",Yes definitely,Loyalty,Honesty,Kindness 
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Colleagues, family, or friends, Internal thoughts/worries",Almost always,Sometimes,Sometimes,Neutral,I feel somewhat more focused,Working in quiet spaces,Not checking my emails and messages as often.,Annoyed,55 +,Female,Self-employed,United Kingdom,Not really,Honesty,Loyalty,Empathy
"Yes, I consent",21–30 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values",No social media ,Frustrated ,18 - 24,Female,Employed full-time,UK,Somewhat,"Integrity, Creativity and Community",Transparency,Support
"Yes, I consent",More than 30 minutes,Smartphone notifications,Rarely,Rarely,Sometimes,Neutral,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",more exciting work,fraustrated,35 - 44,Female,Employed full-time,united kingdom,Somewhat,"loyalty, reliability, punctuality",,
"Yes, I consent",11–20 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Sometimes,Very strongly aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",To have a better attention span as I sometimes struggle with this and to have more time alone with no one around me which helps me focus more,Frustrated,35 - 44,Female,Employed full-time,United Kingdom,Somewhat,Being honest,Trustworthy,Hardworking
"Yes, I consent",5–10 minutes,"Smartphone notifications, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Neutral,I feel less focused,"Working in quiet spaces, Taking breaks / exercise",stop mind from wondering,bored,55 +,Male,Employed part-time,UK South/West,"No, not at all",contentedness,,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise","Work from home more often as most of the time the distractions are from being in the office and just chatting to colleagues or colleagues entering office for advice, at least when working from home I can just ignore their teams calls haha","Annoyed as it can take a while to gain focus back for the task at hand, once you lose focus you tend to go and do other things like make a cup of tea.",45 - 54,Male,Employed full-time,Northumberland - UK,Somewhat,honesty,compassion,fairness
"Yes, I consent",11–20 minutes,"Smartphone notifications, Internal thoughts/worries",Rarely,Rarely,Rarely,Neutral,Neutral,None of the above,more patience,frustrated,55 +,Male,Other,UK,"No, not at all",integrity,,
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Using apps/tools to block distractions, Aligning tasks with personal priorities or values",never take my phone to work,horrible,25 - 34,Male,Employed full-time,USA,Somewhat,"courage, kindness, confidence",determination,
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Often,Often,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Have my own office. ,Frustrated. ,35 - 44,Male,Unemployed,England/South West,Not really,Perseverance. Integrity. Creativity. ,Enjoyment. ,Fulfilment. 
"Yes, I consent",11–20 minutes,"Email or messaging apps, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Almost always,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Aligning tasks with personal priorities or values",Working on my own in a space of my own ,Frustrated,35 - 44,Female,Employed part-time,Hampshire,Yes definitely,Security,Safety,Kindness
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Background noise / environment",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,None of the above,I think it would be to stop multitasking and just finishing tasks in order as I start them (wherever possible),Frustrated,45 - 54,Male,Self-employed,South West England,Somewhat,Integrity,Honesty,Reliability
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Background noise / environment",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Taking breaks / exercise, Aligning tasks with personal priorities or values",To work in a room away from the noise from the kitchen ,uncomfortable ,45 - 54,Female,Unemployed,Scotland ,Somewhat,Honesty,Humility ,A good listener 
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Often,Rarely,Neutral,I feel much more focused and energized,"Working in quiet spaces, Aligning tasks with personal priorities or values",To be able to get more sleep,Frustration,45 - 54,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Empathy,Kindness
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers, Taking breaks / exercise","To be alone, work alone ",distracted,55 +,Male,Employed part-time,UK ,Somewhat,"Healthiness , loyalty , honour ",Discretion ,traditional
"Yes, I consent",11–20 minutes,"Smartphone notifications, Social media scrolling, Multitasking / switching tasks",Sometimes,Often,Often,Neutral,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise","I would completely remove my mobile phone of a distraction. It's not only social media for me, it's playing games and things of that nature.",Distressed,25 - 34,Male,Employed part-time,"United Kingdom, Liverpool",Yes definitely,Family/Friends (relationships),Happiness/mental health,Creativity
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Sometimes,Sometimes,Sometimes,Very strongly aligned,I feel much more focused and energized,"Taking breaks / exercise, Aligning tasks with personal priorities or values",Ability to not get distracted when something gets a little bit hard (although I do find distraction helps my brain find a solution).,Unproductive ,35 - 44,Female,Self-employed,United Kingdom,Yes definitely,Environmental awareness,Simplicity,Self-sufficiency 
"Yes, I consent",21–30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Rarely,Sometimes,Very strongly aligned,I feel somewhat more focused,Taking breaks / exercise,Be more willing to put phone away,Annoyed,45 - 54,Female,Employed part-time,Uk,Somewhat,"Family, loyalty, working in a caring role",,
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Often,Sometimes,Rarely,Very strongly aligned,No noticeable difference,"Silencing notifications, Taking breaks / exercise",Being able to focusb on one task at a time.,Frustrated.,45 - 54,Male,Employed full-time,United Kingdom,Somewhat,Empathy,Truth,Fairness
"Yes, I consent",21–30 minutes,"Background noise / environment, Colleagues, family, or friends, Internal thoughts/worries",Often,Almost always,Almost always,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","I wish that I could have unlimited focus and mental energy. Most tasks, even if small, feel like they take an overwhelming amount of energy just to get done. I’d like to have hours of spending time completing one thing and zoning in, no intrusive thoughts.",scatterbrained ,25 - 34,Female,Unemployed,USA,Somewhat,Kindness,Fairness,Respect 
"Yes, I consent",21–30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Sometimes,Often,Rarely,Somewhat aligned,I feel less focused,"Silencing notifications, Using apps/tools to block distractions, Taking breaks / exercise, Aligning tasks with personal priorities or values","Less background noise, whether I am at work or at home I find it very overwhelming on my ability to focus.",Frustrated,35 - 44,Female,Employed full-time,"England, UK",Yes definitely,Kindness,Honesty,Independence
"Yes, I consent",21–30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Rarely,Sometimes,Rarely,Very strongly aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Make lists with timings and set targets,annoyed,55 +,Male,Employed full-time,uk,Yes definitely,Honesty ,Integrity ,Humility 
"Yes, I consent",21–30 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,No noticeable difference,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",If I could do more activities that I want to do that are fun instead of telling myself I'll do them and then don't do them,Disappointed,25 - 34,Female,Unemployed,United States,Not really,"Integrity, Peace, Respect",Knowledge,Responsibility
"Yes, I consent",11–20 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",To be able to stop when I've finished something and just start without putting it off,Frustrated,25 - 34,Female,Employed full-time,"Chester, UK",Not really,Friendliness,Kindness,Loyalty
"Yes, I consent",5–10 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise",My uncomfortable chair,Bored,45 - 54,Female,Employed full-time,United Kingdom,Yes definitely,"Honesty, loyalty, hardworking ",,
"Yes, I consent",21–30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Rarely,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Not allowing worrying about family and financial issues distract me from focusing.,Frustrated ,35 - 44,Female,Unemployed,United States of America ,Somewhat,Courage,Respect ,Responsibility 
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Almost always,Sometimes,Somewhat misaligned,I feel much more focused and energized,"Working in quiet spaces, Aligning tasks with personal priorities or values",Having a stable income.,Resigned to it.,55 +,Male,Other,UK,Somewhat,Honestly,caring for nature,ignoring politicians
"Yes, I consent",21–30 minutes,"Smartphone notifications, Email or messaging apps, Internal thoughts/worries",Sometimes,Often,Often,Neutral,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Not being such a worrier and feeling anxious about things all the time. ,Frustrated,55 +,Female,Other,UK,Yes definitely,Humility,Family,Nature
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment",Rarely,Rarely,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Aligning tasks with personal priorities or values",Wouldn't have a smartphone.,Distracted,55 +,Male,Employed full-time,United Kingdom,Somewhat,Honesty,Hard working,Treat others as you'd like to be treated yourself
"Yes, I consent",21–30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Aligning tasks with personal priorities or values",The elimination of smart phones and social media,Discouraged,25 - 34,Prefer not to say,Employed part-time,United Kingdom,Yes definitely,"Respectful, Humble and Fearless!",Empathy,Original
"Yes, I consent",5–10 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Often,Often,Somewhat aligned,Neutral,None of the above,Not checking my phone ,Frustrated,25 - 34,Female,Employed part-time,England East Midlands ,Somewhat,Respect,Integrity ,Compassion 
"Yes, I consent",11–20 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Often,Rarely,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values","If the task takes 30 minutes, then I get 30 minutes without any distractions",Frustrated,45 - 54,Male,Employed full-time,N Ireland UK,Somewhat,Respect for everyone and nature,Honest with myself and others,A good listener
"Yes, I consent",21–30 minutes,"Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Using apps/tools to block distractions, Taking breaks / exercise",Calming my mind and stop worrying ,Irritated,55 +,Female,Self-employed,UK England,Yes definitely,Kindness,Consideration,Peace
"Yes, I consent",More than 30 minutes,"Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Neutral,Neutral,Working in quiet spaces,go to quieter place,annoyed,55 +,Female,Other,uk,Not really,honesty,trust,
"Yes, I consent",More than 30 minutes,"Social media scrolling, Internal thoughts/worries",Never,Sometimes,Never,Neutral,No noticeable difference,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","I would have to remove my curiosity, something always pops into my thoughts that I have to look into & think about.",curious,35 - 44,Male,Employed part-time,Yorkshire England,Yes definitely,"honesty, loyalty & trustworthiness.",,
