Do you consent to participate in this study?,"Section 1: Core Focus
Q1. On average, how long can you stay focused on a single task before getting distracted?",Q2. What distracts you most often during the day? (Select up to 3. If 'Other' please specify.),Q3. How often do you feel frustrated because you canâ€™t stay focused long enough to finish important tasks?,Q4 How often do you feel drained even on days you havent worked,Q5. How often do you feel busy all day but accomplish little of real importance?,"Section 3: Values Alignment
Q6. To what extent do you feel your daily tasks align with your personal values?","Q7. When your work or activities reflect your values, how does it affect your focus?","Section 4: Coping & Behaviors
Q8. Which strategies do you currently use to manage distractions? (Select all that apply)","Section 5: Open Reflection
Q9. If you could change one thing to improve your ability to focus, what would it be? (Open text)",Q10. Whatâ€™s one word that best describes how you feel when you lose focus? (Open text),"Section 6: Demographics
Q11. What is your age?",Q12. What is your gender?,Q13. What is your current employment status?,Q14. Which country/region do you live in?,Q15 Do you feel confident you could name your top 3 values,"Q16a. Please try listing up to 3 values that are most important to you. Don't worry if youâ€™re not sure, just write what comes to mind.",Q16b. Please list a second personal value (Value 2 â€“ optional),Q16c. Please list a third personal value (Value 3 â€“ optional),Started at,Completed at,Reviewed at,Archived at,Time taken,Age,Sex,Ethnicity simplified,Country of residence,Nationality,Language,Employment status
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Email or messaging apps, Social media scrolling",Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Taking breaks / exercise",Feeling that what I am contributing towards really makes a difference,Disappointed,35 - 44,Male,Employed full-time,United Kingdom,Somewhat,Loyalty,Kindness,Professionlism,2025-09-03T09:09:12.225000Z,2025-09-03T09:13:44.906000Z,,2025-09-03T09:13:45.322385Z,273,40,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Internal thoughts/worries",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",I would be more accepting of loud noises. ,Annoyed,35 - 44,Male,Employed full-time,USA,Somewhat,Family,Health,Career,2025-09-03T09:10:22.158000Z,2025-09-03T09:13:27.181000Z,,2025-09-03T09:13:27.529156Z,186,44,Male,White,United States,United States,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Rarely,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",take my phone off me,disappointed,55 +,Male,Employed full-time,United Kingdom/London,Somewhat,honesty,kindness,ambition,2025-09-03T09:09:53.928000Z,2025-09-03T09:13:45.135000Z,,2025-09-03T09:13:45.673294Z,232,62,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,Smartphone notifications,Sometimes,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,Silencing notifications,Friends respecting my working hours and not trying to distract me,Frustrated,25 - 34,Female,Self-employed,United Kingdom,Somewhat,Intergrity,Protecting one's own peace,Sharing knowledge,2025-09-03T09:10:26.754000Z,2025-09-03T09:13:39.269000Z,,2025-09-03T09:13:39.683649Z,193,28,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Multitasking / switching tasks, Internal thoughts/worries",Rarely,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,Taking breaks / exercise,Take a break more often and make sure that I am hydrated enough as at times I am sluggish by not drinking sufficient water,Frustrayed,55 +,Male,Other,Tyne and Wear-England,Yes definitely,"Humility, caring, friendly",,,2025-09-03T09:09:39.030000Z,2025-09-03T09:13:45.895000Z,,2025-09-03T09:13:46.386865Z,247,68,Male,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",11â€“20 minutes,"Email or messaging apps, Multitasking / switching tasks, Colleagues, family, or friends",Often,Often,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",cut down on questions from colleagues,frustrated,55 +,Male,Employed full-time,united kingdom,Yes definitely,"honesty, ",loyalty,hard working,2025-09-03T09:09:43.428000Z,2025-09-03T09:13:44.511000Z,,2025-09-03T09:13:44.952829Z,242,61,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",5â€“10 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Almost always,Often,Often,Neutral,No noticeable difference,None of the above,Help me concentrate better ,Bored ,45 - 54,Male,Employed full-time,United Kingdom,Not really,Precision ,,,2025-09-03T09:10:46.394000Z,2025-09-03T09:17:01.369000Z,,2025-09-03T09:17:01.753816Z,375,45,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat misaligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",have a quieter working environment where there is no noise ,annoyed,45 - 54,Female,Employed full-time,U.K,Not really,family,contentment,stress free,2025-09-03T09:09:26.357000Z,2025-09-03T09:13:24.632000Z,,2025-09-03T09:13:25.014978Z,239,52,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,Smartphone notifications,Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,Silencing notifications,"Practice more, I feel i was more able to focus previously. Maybe take my smart watch off as it buzzes on my wrist even when my phone is on silent",Annoyed,45 - 54,Female,Employed part-time,United Kingdom,Somewhat,honesty,hard work,Integrity,2025-09-03T09:09:37.465000Z,2025-09-03T09:13:56.419000Z,,2025-09-03T09:13:56.788386Z,259,49,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Multitasking / switching tasks, Colleagues, family, or friends",Rarely,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces",The temptation to multi-task,annoyed ,55 +,Female,Employed part-time,UK/North West,Yes definitely,kindness,honesty,resiliance,2025-09-03T09:09:34.624000Z,2025-09-03T09:15:26.910000Z,,2025-09-03T09:15:27.300030Z,353,59,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",11â€“20 minutes,"Social media scrolling, Background noise / environment, Internal thoughts/worries",Sometimes,Often,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",To be able to block out outside/background noises. ,Frustrated ,35 - 44,Female,Self-employed,United Kingdom ,Somewhat,Kind and compassionate ,Strong,Honest/loyal,2025-09-03T09:09:45.510000Z,2025-09-03T09:13:53.417000Z,,2025-09-03T09:13:53.851365Z,248,35,Female,White,United Kingdom,United Kingdom,English,Other
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Social media scrolling, Colleagues, family, or friends",Almost always,Often,Rarely,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Aligning tasks with personal priorities or values",I would increase my ability to concentrate as and when needed,"I feel frustrated, especially when I have a looming deadline",25 - 34,Female,Employed full-time,united kingdom,Somewhat,"fulfillment, relationships, happiness",,,2025-09-03T09:11:25.034000Z,2025-09-03T09:13:42.369000Z,,2025-09-03T09:13:42.892348Z,138,29,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Background noise / environment, Colleagues, family, or friends, Cat demanding attention.",Rarely,Sometimes,Often,Somewhat aligned,I feel much more focused and energized,Working in quiet spaces,Be able to ignore external noise.,Frustrated.,55 +,Female,Self-employed,UK,Yes definitely,Truth,Reason,Honesty,2025-09-03T09:09:17.806000Z,2025-09-03T09:13:46.807000Z,,2025-09-03T09:13:47.208147Z,270,58,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Multitasking / switching tasks",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel somewhat more focused,None of the above,Probably my attention span,Resigned,35 - 44,Female,Employed full-time,UK,"No, not at all",Integrity,honesty,kindness,2025-09-03T09:11:10.456000Z,2025-09-03T09:14:13.368000Z,,2025-09-03T09:14:13.868893Z,183,35,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,Smartphone notifications,Rarely,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,Taking breaks / exercise,move my phone but that would cause more anxiety in case i missed aomething important (e.g child's school),frustrated,45 - 54,Female,Employed part-time,england,Somewhat,honesty,kindness,loyalty,2025-09-03T09:09:10.713000Z,2025-09-03T09:13:53.419000Z,,2025-09-03T09:13:53.912761Z,283,46,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Multitasking / switching tasks",Often,Often,Sometimes,Somewhat misaligned,No noticeable difference,"Working in quiet spaces, Taking breaks / exercise",Stronger resistance to idly checking my phone/personal browser every 15 mins in work,Aching,25 - 34,Male,Employed full-time,United Kingdom,Not really,Self-identity,Consistent personality,Thoughtfulness,2025-09-03T09:11:28.356000Z,2025-09-03T09:13:51.029000Z,,2025-09-03T09:13:51.434488Z,143,27,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries",Sometimes,Often,Rarely,Neutral,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise",Allow myself to have fleeting thoughts without getting distracted by pursuing them,Unmoored,25 - 34,Male,Unemployed,UK,Somewhat,Sincerity,Empathy,Open-mindedness,2025-09-03T09:09:55.722000Z,2025-09-03T09:14:18.264000Z,,2025-09-03T09:14:18.646720Z,263,28,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Almost always,Almost always,Often,Somewhat aligned,I feel somewhat more focused,Working in quiet spaces,The internal worries and thoughts are the hardest.  If I could figure a way around those it would be great.,arghhhh!,45 - 54,Female,Employed full-time,Scotland,Somewhat,Honesty,Kindness,Tenacity,2025-09-03T09:10:00.844000Z,2025-09-03T09:13:54.030000Z,,2025-09-03T09:13:54.508894Z,234,53,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Social media scrolling, Background noise / environment",Sometimes,Often,Sometimes,Neutral,Neutral,"Working in quiet spaces, Taking breaks / exercise",deadlines,,25 - 34,Male,Employed full-time,North west England,Somewhat,Family ,,,2025-09-03T09:11:10.061000Z,2025-09-03T09:13:50.774000Z,,2025-09-03T09:13:51.135724Z,161,32,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",5â€“10 minutes,"Social media scrolling, Colleagues, family, or friends, Internal thoughts/worries",Often,Almost always,Almost always,Somewhat misaligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Making sure I don't procrastinate whenever I have important tasks to do,immature ,25 - 34,Male,Employed full-time,United Kingdom,Yes definitely,"patience, perseverance and professionalism",adaptable,intelligent ,2025-09-03T09:09:41.261000Z,2025-09-03T09:13:50.358000Z,,2025-09-03T09:13:50.775408Z,250,28,Male,Black,United Kingdom,Netherlands,English,Full-Time
"Yes, I consent",More than 30 minutes,Smartphone notifications,Never,Never,Never,Somewhat aligned,No noticeable difference,Taking breaks / exercise,Unsure,Frustrated,45 - 54,Female,Other,Scotland,Somewhat,honesty,reliability,happiness,2025-09-03T09:10:34.762000Z,2025-09-03T09:13:32.437000Z,,2025-09-03T09:13:32.864075Z,178,45,Female,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",Less than 5 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Almost always,Sometimes,Somewhat misaligned,I feel somewhat more focused,"Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise",Knowing that I will achieve what I set out to do,incapable,55 +,Female,Employed full-time,England,Somewhat,Supportive,Hardworking,Generous ,2025-09-03T09:09:08.361000Z,2025-09-03T09:13:51.252000Z,,2025-09-03T09:13:51.710652Z,283,56,Female,White,United Kingdom,Ireland,English,Full-Time
"Yes, I consent",5â€“10 minutes,"Email or messaging apps, Multitasking / switching tasks, Background noise / environment",Often,Often,Often,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise",Ability to block access to phone for periods of time,Frustrated ,45 - 54,Female,Employed full-time,UK,Somewhat,"Fairness, compassion, equality",,,2025-09-03T09:10:25.429000Z,2025-09-03T09:13:53.823000Z,,2025-09-03T09:13:54.211633Z,209,47,Female,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Social media scrolling, Multitasking / switching tasks, Internal thoughts/worries",Sometimes,Rarely,Rarely,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Aligning tasks with personal priorities or values",Just becoming more aware or willing to focus on the task Iâ€™m doing and avoiding distractions ,Undisciplined ,25 - 34,Female,Employed full-time,United Kingdom,Somewhat,"Professional, efficient, technical",,,2025-09-03T09:09:39.972000Z,2025-09-03T09:14:02.516000Z,,2025-09-03T09:14:02.928606Z,263,33,Female,Asian,United Kingdom,United Kingdom,Tagalog-Filipino,Full-Time
"Yes, I consent",11â€“20 minutes,"Email or messaging apps, Multitasking / switching tasks, Background noise / environment",Rarely,Rarely,Rarely,Somewhat aligned,Neutral,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Focus on important thoughts,Distracted,35 - 44,Female,Employed full-time,England,Not really,Happiness,,,2025-09-03T09:10:43.547000Z,2025-09-03T09:13:51.494000Z,,2025-09-03T09:13:51.965211Z,188,38,Female,Asian,United Kingdom,United Kingdom,Spanish,Full-Time
"Yes, I consent",5â€“10 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Almost always,Almost always,Almost always,Very strongly aligned,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise","to have more concentration, my concentration is very poor and is getting worse with age",frustrated,35 - 44,Female,Other,UK,Somewhat,loyal,considerate,caring,2025-09-03T09:10:06.396000Z,2025-09-03T09:14:12.563000Z,,2025-09-03T09:14:12.996580Z,247,44,Female,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Nothing other than well-aligned tasks,distracted,55 +,Male,Other,UK,Yes definitely,Honesty,Decency,Compassion,2025-09-03T09:07:12.195000Z,2025-09-03T09:13:57.873000Z,,2025-09-03T09:13:58.255151Z,406,70,Male,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Background noise / environment, Colleagues, family, or friends",Sometimes,Often,Almost always,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Using apps/tools to block distractions, Taking breaks / exercise","I would improve the place in which I am working, in order to avoid noisy distractions (neighbours, etc).",Frustrated.,35 - 44,Female,Unemployed,England,Somewhat,Kindness,Honesty,Willingness to help others,2025-09-03T09:09:42.841000Z,2025-09-03T09:13:55.282000Z,,2025-09-03T09:13:55.700521Z,253,36,Female,White,United Kingdom,United Kingdom,English,Unemployed (and job seeking)
"Yes, I consent",21â€“30 minutes,"Colleagues, family, or friends",Rarely,Rarely,Rarely,Very strongly aligned,I feel much more focused and energized,"Taking breaks / exercise, Aligning tasks with personal priorities or values","hard to say, as I am usually pretty focussed.",annoyed,55 +,Male,Self-employed,uk,Somewhat,drive,integrity,self discipline,2025-09-03T09:10:37.861000Z,2025-09-03T09:13:55.624000Z,,2025-09-03T09:13:56.022881Z,198,62,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Multitasking / switching tasks, Internal thoughts/worries",Rarely,Sometimes,Never,Very strongly aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",More relaxing environment,Incompetent,25 - 34,Male,Unemployed,United Kingdom,Somewhat,Reliability,Concentration,Honesty,2025-09-03T09:09:41.554000Z,2025-09-03T09:13:55.766000Z,,2025-09-03T09:13:56.157522Z,255,31,Male,White,United Kingdom,Lithuania,Lithuanian,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling, Multitasking / switching tasks",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Taking breaks / exercise",Create better value in my tasks so they feel more valuable ,Frustrated ,35 - 44,Female,Employed part-time,UK,Somewhat,"Honesty,",Trust ,Open minded ,2025-09-03T09:11:46.484000Z,2025-09-03T09:14:00.263000Z,,2025-09-03T09:14:00.872358Z,134,38,Female,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",More than 30 minutes,Smartphone notifications,Rarely,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Scheduling focus time / using timers",Nothing ,Annoyed,35 - 44,Female,Unemployed,United Kingdom,Somewhat,Kind,Empathetic,Generous,2025-09-03T09:09:44.695000Z,2025-09-03T09:14:04.239000Z,,2025-09-03T09:14:04.616286Z,260,37,Female,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Sometimes,Sometimes,Rarely,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",not to dwell on things too much and keep a clear mind,frustration,35 - 44,Male,Employed full-time,uk northwest,Somewhat,punctuation,politness,honesty,2025-09-03T09:09:35.851000Z,2025-09-03T09:13:58.164000Z,,2025-09-03T09:13:58.539506Z,263,39,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Sometimes,Rarely,Rarely,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Less scrolling on social media so I stop destroying my attention span ,Irritated ,25 - 34,Female,Unemployed,UK,Somewhat,Inclusion,Compassion,Humour ,2025-09-03T09:10:40.261000Z,2025-09-03T09:13:44.332000Z,,2025-09-03T09:13:44.831653Z,185,27,Female,White,United Kingdom,United Kingdom,English,Unemployed (and job seeking)
"Yes, I consent",11â€“20 minutes,"Email or messaging apps, Social media scrolling, Internal thoughts/worries",Often,Sometimes,Often,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Using apps/tools to block distractions, Taking breaks / exercise",Start jobs early in the morning.,Agitated,45 - 54,Male,Employed full-time,England ,Somewhat,Relationships. ,Exercise,Integrity,2025-09-03T09:10:28.791000Z,2025-09-03T09:14:05.568000Z,,2025-09-03T09:14:05.931471Z,217,50,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Colleagues, family, or friends, Internal thoughts/worries",Sometimes,Almost always,Rarely,Somewhat aligned,I feel somewhat more focused,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise","Quiet my brain, reduce random thoughts.",Annoyed.,45 - 54,Female,Employed part-time,Scotland,Somewhat,Honesty,Loyalty,Compassion,2025-09-03T09:10:50.410000Z,2025-09-03T09:14:00.162000Z,,2025-09-03T09:14:00.645724Z,190,54,Female,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise",To be able to manage background noise and activities.,Frustrated,45 - 54,Female,Unemployed,UK,Yes definitely,Honesty,Positivity,Caring,2025-09-03T09:09:53.056000Z,2025-09-03T09:13:59.395000Z,,2025-09-03T09:13:59.783971Z,247,50,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",5â€“10 minutes,"Email or messaging apps, Social media scrolling, Internal thoughts/worries",Sometimes,Often,Often,Neutral,I feel somewhat more focused,"Scheduling focus time / using timers, Taking breaks / exercise",time away from my phone,frustrated,35 - 44,Female,Unemployed,north west,Not really,trust,honest,fun,2025-09-03T09:10:17.389000Z,2025-09-03T09:14:32.644000Z,,2025-09-03T09:14:33.109841Z,256,35,Female,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Email or messaging apps, Social media scrolling",Rarely,Often,Sometimes,Neutral,I feel much more focused and energized,Working in quiet spaces,Trying to be more motivated,Apathetic,25 - 34,Male,Employed full-time,United Kingdom,Not really,Fairness,Family,Trust,2025-09-03T09:09:48.346000Z,2025-09-03T09:13:57.036000Z,,2025-09-03T09:13:57.488610Z,249,28,Male,Mixed,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Smartphone notifications, Email or messaging apps, Colleagues, family, or friends",Rarely,Sometimes,Sometimes,Very strongly aligned,I feel much more focused and energized,"Silencing notifications, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",Have less people around me so that i have less interuptions ,Annoyed,45 - 54,Male,Employed full-time,England - East Yorkshire,Yes definitely,Kindness,Empathy,Helpfulness,2025-09-03T09:08:49.256000Z,2025-09-03T09:14:04.379000Z,,2025-09-03T09:14:04.783817Z,316,45,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Email or messaging apps, Internal thoughts/worries",Rarely,Often,Often,Neutral,Neutral,"Silencing notifications, Taking breaks / exercise",Cure my ADHD,Lost,45 - 54,Male,Self-employed,UK,"No, not at all","Honesty, Happyness, prosperity",,,2025-09-03T09:09:14.175000Z,2025-09-03T09:17:55.977000Z,,2025-09-03T09:17:56.333195Z,522,52,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,my apple watch notifications and exercise rings,Sometimes,Often,Sometimes,Somewhat aligned,I feel much more focused and energized,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",have my exercise rings on pause on my apple watch,distracted,55 +,Female,Unemployed,South West,Somewhat,awe,social justice,equality,2025-09-03T09:10:03.366000Z,2025-09-03T09:14:08.103000Z,,2025-09-03T09:14:08.543155Z,245,56,Female,White,United Kingdom,United Kingdom,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",More than 30 minutes,Background noise / environment,Rarely,Rarely,Rarely,Very strongly aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise",a private home office away from home (I work remotely),annoyed,45 - 54,Male,Employed full-time,USA,Somewhat,hardwork,loyalty,morals,2025-09-03T09:09:59.655000Z,2025-09-03T09:14:10.580000Z,,2025-09-03T09:14:10.976177Z,251,45,Male,White,United States,United States,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Email or messaging apps, Internal thoughts/worries",Often,Often,Sometimes,Neutral,I feel somewhat more focused,"Silencing notifications, Taking breaks / exercise, Aligning tasks with personal priorities or values","I wish I could control my overthinking more, I'm often thinking about several things at the same time.",I often feel frustrated,25 - 34,Male,Unemployed,England,Somewhat,Peace,Kindness,respect,2025-09-03T09:10:24.047000Z,2025-09-03T09:14:03.788000Z,,2025-09-03T09:14:04.200657Z,220,28,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",More than 30 minutes,"Colleagues, family, or friends",Never,Rarely,Rarely,Somewhat aligned,Neutral,Working in quiet spaces,unsure,indifferent,45 - 54,Male,Employed full-time,uk,Not really,having fun,financial security,family,2025-09-03T09:10:06.291000Z,2025-09-03T09:14:03.214000Z,,2025-09-03T09:14:03.627520Z,237,53,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",11â€“20 minutes,"Smartphone notifications, Background noise / environment, Colleagues, family, or friends",Often,Almost always,Almost always,Somewhat aligned,I feel much more focused and energized,"Silencing notifications, Scheduling focus time / using timers, Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",To have less distractions when necessary. ,Aggravated ,35 - 44,Female,Other,United States of America ,Yes definitely,Honesty,Integrity,Respect,2025-09-03T09:10:09.769000Z,2025-09-03T09:14:08.609000Z,,2025-09-03T09:14:09.011478Z,239,44,Female,White,United States,United States,English,"Not in paid work (e.g. homemaker', 'retired or disabled)"
"Yes, I consent",11â€“20 minutes,"Email or messaging apps, Multitasking / switching tasks, Internal thoughts/worries",Often,Often,Often,Neutral,I feel much more focused and energized,Taking breaks / exercise,A quieter more peaceful work environment,Frustrated,45 - 54,Male,Self-employed,UK,Somewhat,empathy,truthelness,,2025-09-03T09:09:48.382000Z,2025-09-03T09:14:12.555000Z,,2025-09-03T09:14:13.034139Z,265,49,Male,White,United Kingdom,United Kingdom,English,Part-Time
"Yes, I consent",Less than 5 minutes,Internal thoughts/worries,Almost always,Sometimes,Sometimes,Somewhat misaligned,Neutral,Working in quiet spaces,Medicate adhd,Frustrated,45 - 54,Male,Employed full-time,United Kingdom,Yes definitely,Trust,Respect ,Kindness,2025-09-03T09:12:06.104000Z,2025-09-03T09:14:07.255000Z,,2025-09-03T09:14:07.699451Z,122,48,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,Multitasking / switching tasks,Rarely,Sometimes,Rarely,Somewhat aligned,Neutral,"Working in quiet spaces, Taking breaks / exercise",That work colleagues would just leave me alone. I get so many notifications and questions from work (SAP support for a finance department in a large organisation).,annoyed,45 - 54,Male,Employed full-time,UK,Somewhat,honesty,integrity,calmness,2025-09-03T09:06:47.834000Z,2025-09-03T09:14:06.511000Z,,2025-09-03T09:14:07.004725Z,439,52,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",More than 30 minutes,"Background noise / environment, Internal thoughts/worries",Often,Often,Sometimes,Neutral,I feel somewhat more focused,Aligning tasks with personal priorities or values,less noise outside,frustrated,45 - 54,Male,Unemployed,united kingdom,Yes definitely,"loyalty , common sense , understanding",respect,,2025-09-03T09:09:44.326000Z,2025-09-03T09:14:13.809000Z,,2025-09-03T09:14:14.204018Z,270,47,Male,White,United Kingdom,United Kingdom,English,DATA_EXPIRED
"Yes, I consent",21â€“30 minutes,"Background noise / environment, Colleagues, family, or friends",Sometimes,Sometimes,Sometimes,Somewhat aligned,I feel much more focused and energized,"Scheduling focus time / using timers, Working in quiet spaces",Working in a quiet location,Frustrated,55 +,Male,Employed full-time,UK,Yes definitely,"Comfort, security, happiness",peace,love,2025-09-03T09:10:54.778000Z,2025-09-03T09:14:11.107000Z,,2025-09-03T09:14:11.608667Z,197,57,Male,White,United Kingdom,United Kingdom,English,Full-Time
"Yes, I consent",21â€“30 minutes,"Smartphone notifications, Colleagues, family, or friends",Rarely,Almost always,Sometimes,Somewhat aligned,I feel somewhat more focused,"Working in quiet spaces, Taking breaks / exercise, Aligning tasks with personal priorities or values",To get better quality sleep.,Frustrated,45 - 54,Female,Self-employed,United Kingdom,Somewhat,Honesty,Reliability,Supportive,2025-09-03T09:09:46.557000Z,2025-09-03T09:14:07.644000Z,,2025-09-03T09:14:08.120292Z,262,54,Female,White,United Kingdom,United Kingdom,English,Part-Time
